id,device_type,pro_id,detail_url,remark,name,img_url,price,score,heat,comment_url
315439,phone,1763,/cell_phone/index315439.shtml,上市日期:2012年 手机类型:3G手机，智能手机 主屏尺寸:4英寸 外观设计:直板 触摸屏:电容屏，多点触控 主屏分辨率:800x480像素 网络类型:双卡双模,联想A780,https://2b.zol-img.com.cn/product/86_500x375/595/cew4t9l5xARLA.jpg,550,6.6,49,/316/315439/review.shtml
315472,phone,1763,/cell_phone/index315472.shtml,手机类型:时尚手机 上市日期:2012年 外观设计:直板 触摸屏:电阻屏，单点触控 主屏分辨率:320x240像素 网络模式:GSM RAM容量:128MB,联想MA190,https://2a.zol-img.com.cn/product/82_500x375/914/ceSLkWx71QfWE.jpg,0,0,0,""
315554,phone,1763,/cell_phone/index315554.shtml,手机类型:3G手机，智能手机 上市日期:2012年 主屏尺寸:3.5英寸 外观设计:直板 触摸屏:电容屏，多点触控 主屏分辨率:480x320像素 网络类型:单卡双模,联想A366t,https://2d.zol-img.com.cn/product/88_500x375/255/ce6p70njlTNU6.jpg,500,6.2,48,/316/315554/review.shtml
315561,phone,1632,/cell_phone/index315561.shtml,手机类型:3G手机，智能手机 上市日期:2012年02月 主屏尺寸:3.75英寸 外观设计:直板 触摸屏:电容屏，多点触控 主屏分辨率:480x320像素 网络类型:单卡双模,金立TD500,https://2f.zol-img.com.cn/product/91_500x375/119/cesScpOdK6Fw.jpg,1299,3.5,27,/316/315561/review.shtml
315567,phone,1632,/cell_phone/index315567.shtml,外观设计:直板 网络模式:GSM，WCDMA 支持频段:2G：GSM 850/900/1800/1900 3G：WCDMA 900/2100MHz 主屏色彩:1600万色 主屏分辨率:800x480像素 手机类型:3G手机，智能手机 摄像头像素:500万像素,金立GN215,https://2a.zol-img.com.cn/product/82_500x375/756/cetGJfVqU7Pc.jpg,0,0,0,""
315873,phone,300,/cell_phone/index315873.shtml,上市日期:2012年 手机类型:3G手机，智能手机 主屏尺寸:3.5英寸 外观设计:直板 触摸屏:电容屏，多点触控 主屏分辨率:480x320像素 网络模式:CDMA2000,夏普SH330T,https://2c.zol-img.com.cn/product/82_500x375/208/cetfQYsqejh4M.jpg,699,4,2,/316/315873/review.shtml
316184,phone,1632,/cell_phone/index316184.shtml,上市日期:2012年 手机类型:3G手机，智能手机 外观设计:直板 主屏尺寸:3.5英寸 触摸屏:电容屏，多点触控 主屏分辨率:480x320像素 网络模式:CDMA2000,金立C500（电信版）,https://2a.zol-img.com.cn/product/82_500x375/724/ce7D18CL2AKqQ.jpg,999,2,4,/317/316184/review.shtml
316199,phone,1632,/cell_phone/index316199.shtml,上市日期:2012年 手机类型:3G手机，时尚手机 外观设计:直板 主屏尺寸:2.6英寸 主屏分辨率:320x240像素 网络模式:GSM，TD-SCDMA 电池容量:1400mAh,金立TD216,https://2d.zol-img.com.cn/product/82_500x375/189/cefS2t5GMRKvM.jpg,0,0,0,""
316227,phone,1632,/cell_phone/index316227.shtml,上市日期:2012年 外观设计:直板 主屏尺寸:2.4英寸 主屏分辨率:320x240像素 网络模式:CDMA2000 输入方式:键盘 键盘类型:T9传统键盘,金立CBE70B,https://2f.zol-img.com.cn/product/82_500x375/461/ceI84WAgVOo.jpg,0,0,0,""
316429,phone,1632,/cell_phone/index316429.shtml,上市日期:2010年10月 手机类型:时尚手机 外观设计:直板 主屏尺寸:2.8英寸 主屏分辨率:400x240像素 网络模式:GSM 输入方式:键盘,金立L39,https://2d.zol-img.com.cn/product/82_500x375/547/ceDM6dsIvcvzU.jpg,799,0,0,""
316756,phone,1632,/cell_phone/index316756.shtml,上市日期:2012年 手机类型:3G手机，智能手机 外观设计:直板 主屏尺寸:3.75英寸 触摸屏:电容屏，多点触控 主屏分辨率:480x320像素 网络类型:双卡双模,金立GN170,https://2c.zol-img.com.cn/product/91_500x375/108/ceQpkS9Je2IqA.jpg,1299,3.2,9,/317/316756/review.shtml
317085,phone,300,/cell_phone/index317085.shtml,外观设计:直板 网络模式:GSM，WCDMA 支持频段:2G：GSM 850/900/1800/1900 3G：WCDMA 2100MHz 主屏色彩:26万色 主屏分辨率:480x320像素 手机类型:3G手机，智能手机 摄像头像素:前：30万像素，后：300万像素,夏普SH330U,https://2b.zol-img.com.cn/product/82_500x375/257/ceZ17EKEEIBE.jpg,399,8,14,/318/317085/review.shtml
317441,phone,642,/cell_phone/index317441.shtml,手机类型:3G手机，智能手机 上市日期:2012年 外观设计:直板 主屏尺寸:3.5英寸 触摸屏:电容屏 主屏分辨率:480x320像素 网络模式:CDMA2000,中兴V6700,https://2f.zol-img.com.cn/product/94_500x375/285/ceJxNZSxb5pLM.jpg,990,5,11,/318/317441/review.shtml
317444,phone,642,/cell_phone/index317444.shtml,升级版U880，Android2.3操作系统，增加前置摄像头，屏幕升级至4英寸，主屏增加到1GHz，并配有4GB ROM，1650毫安时电池,中兴U880E（移动版）,https://2a.zol-img.com.cn/product/83_500x375/790/ceeLtEP76zyo.jpg,390,6.5,833,/318/317444/review.shtml
317462,phone,221,/cell_phone/index317462.shtml,外观设计:直板 网络模式:GSM，WCDMA 支持频段:3G：WCDMA 850/900/1900/2100 3G：WCDMA 2100MHz 主屏色彩:26万色 主屏分辨率:800x480像素 手机类型:3G手机，智能手机 摄像头像素:500万像素,海尔W806,https://2f.zol-img.com.cn/product/83_500x375/615/ceZNlqjWFd2YE.jpg,0,0,0,""
